"tract","Name","Foreign-Born_Share_in_2012-16"
24027602600,"Ellicott City, MD",0.4451
24005401507,"Windsor Mill, Baltimore, MD",0.3359
24027602900,"Normandy, Ellicott City, MD",0.3295
24027601107,"Waterloo, Elkridge, MD",0.3221
24005402305,"Lochearn, Pikesville, MD",0.3164
24005430900,"Baltimore, MD",0.3089
24027602800,"Ellicott City, MD",0.3043
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2998
24510260700,"Fifteenth Street, Baltimore, MD",0.2886
24510260501,"Joseph Lee, Baltimore, MD",0.288
24510260800,"Baltimore Highlands, Baltimore, MD",0.2848
24005440701,"Rosedale, MD",0.2777
24510040100,"Downtown, Baltimore, MD",0.2769
24510260201,"Frankford, Baltimore, MD",0.2677
24005403601,"Baltimore, MD",0.2618
24510261000,"Patterson Park, Baltimore, MD",0.2541
24027602302,"Columbia, MD",0.25
24003980000,"Linthicum Heights, MD",0.25
24510260404,"Baltimore Highlands, Baltimore, MD",0.2494
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.2456
24005440800,"Rosedale, MD",0.2388
24027601103,"West Elkridge, Elkridge, MD",0.238
24510120202,"Baltimore, MD",0.2318
24005402509,"Owings Mills, MD",0.2309
24005402306,"Windsor Mill, Baltimore, MD",0.2286
24027602306,"Dunloggin, Ellicott City, MD",0.2268
24027606607,"Long Reach, Columbia, MD",0.2254
24027606707,"Columbia, MD",0.2242
24005401506,"Windsor Mill, Baltimore, MD",0.2238
24027606706,"Kendall Ridge, Columbia, MD",0.2228
24027606604,"Columbia, MD",0.2223
24005403402,"Pikesville, MD",0.2207
24005404202,"Owings Mills, MD",0.2184
24027601203,"Elkridge, MD",0.2171
24510272007,"Fallstaff, Baltimore, MD",0.2122
24510272004,"Cheswolde, Baltimore, MD",0.2111
24005401504,"Catonsville, MD",0.2085
24005440900,"Rosedale, MD",0.2082
24027606606,"Long Reach, Columbia, MD",0.2037
24027606704,"Owen Brown, Columbia, MD",0.1999
24510060100,"Patterson Park, Baltimore, MD",0.1984
24510020200,"Upper Fells Point, Baltimore, MD",0.1969
24005491300,"Baltimore, MD",0.1942
24003750803,"Glen Burnie, MD",0.1914
24005451402,"Middle River, MD",0.1902
24005403803,"Pikesville, MD",0.1899
24005402307,"Pikesville, MD",0.1894
24005403602,"Baltimore, MD",0.1882
24005451401,"Middle River, MD",0.1871
24027601108,"Ellicott City, MD",0.1839
24510260605,"Medford - Broening, Baltimore, MD",0.1835
24005491100,"Baltimore, MD",0.1829
24005401505,"Catonsville, MD",0.1791
24510130803,"Medfield, Baltimore, MD",0.1785
24005491500,"Parkville, MD",0.1784
24027601204,"Elkridge, MD",0.1771
24027602100,"Ellicott City, MD",0.1763
24510030200,"Little Italy, Baltimore, MD",0.1753
24005403702,"Pikesville, MD",0.1737
24005411307,"Nottingham, MD",0.172
24510250205,"Lakeland, Baltimore, MD",0.1718
24510190200,"Pratt Monroe, Baltimore, MD",0.1713
24005450503,"Essex, MD",0.1709
24005403500,"Pikesville, MD",0.1704
24005440600,"Rosedale, MD",0.1699
24005411408,"Nottingham, MD",0.1697
24005492402,"Owings Mills, MD",0.1683
24510110200,"Downtown, Baltimore, MD",0.1668
24005440300,"Nottingham, MD",0.1667
24027601104,"Ellicott City, MD",0.166
24005404101,"Owings Mills, MD",0.166
24005404102,"Owings Mills, MD",0.1647
24027601105,"Ellicott City, MD",0.1645
24027602700,"Taylor Village, Ellicott City, MD",0.1632
24510260401,"Armistead Gardens, Baltimore, MD",0.163
24510110100,"Downtown, Baltimore, MD",0.1623
24027606901,"Savage, Jessup, MD",0.1612
24005402302,"Windsor Mill, Milford Mill, MD",0.1577
24005408704,"Mays Chapel, Lutherville-Timonium, MD",0.1569
24510250401,"Brooklyn, Baltimore, MD",0.1569
24005420500,"Baltimore, MD",0.1547
24005403300,"Lochearn, Pikesville, MD",0.1545
24510020300,"Fells Point, Baltimore, MD",0.1529
24510140100,"Bolton Hill, Baltimore, MD",0.1515
24005450504,"Essex, MD",0.1484
24510271400,"Evergreen, Baltimore, MD",0.1482
24005403701,"Owings Mills, MD",0.1473
24510260202,"Parkside, Baltimore, MD",0.1472
24005403801,"Baltimore County, MD",0.147
24005402603,"Randallstown, MD",0.1452
24510120600,"Old Goucher, Baltimore, MD",0.1452
24005411410,"Parkville, MD",0.1446
24510272006,"Glen, Baltimore, MD",0.1444
24005400800,"Catonsville, MD",0.1431
24005402303,"Windsor Mill, Baltimore, MD",0.1426
24005440702,"Rosedale, MD",0.1419
24005401101,"Woodlawn, MD",0.1411
24005402304,"Gwynn Oak, Baltimore, MD",0.1404
24510040200,"Downtown, Baltimore, MD",0.1401
24510250303,"Morrell Park, Baltimore, MD",0.1387
24005452300,"Baltimore, MD",0.1384
24005492401,"Owings Mills, MD",0.1382
24005491900,"Parkville, MD",0.1374
24005492600,"Parkville, MD",0.1372
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1366
24027602202,"Ellicott City, MD",0.1362
24005490301,"Towson, MD",0.1362
24005401102,"Gwynn Oak, Woodlawn, MD",0.1359
24005491401,"Parkville, MD",0.1346
24005400701,"Catonsville, MD",0.1336
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1271
24005411302,"White Marsh, MD",0.1265
24005402407,"Windsor Mill, Milford Mill, MD",0.1256
24005400900,"Catonsville, MD",0.1249
24510120700,"Remington, Baltimore, MD",0.1247
24510200500,"Mill Hill, Baltimore, MD",0.1236
24005402505,"Randallstown, MD",0.1226
24005490603,"Baltimore, MD",0.1223
24510260604,"O'Donnell Heights, Baltimore, MD",0.1218
24003750804,"Glen Burnie, MD",0.1216
24510030100,"Perkins Homes, Baltimore, MD",0.1209
24005411306,"Nottingham, MD",0.1193
24510010300,"Canton, Baltimore, MD",0.119
24005491402,"Parkville, MD",0.1188
24027601201,"Elkridge, MD",0.1186
24005411309,"Perry Hall, MD",0.1179
24510250203,"Cherry Hill, Baltimore, MD",0.1176
24027606705,"Owen Brown, Columbia, MD",0.1168
24005420701,"Dundalk, MD",0.1164
24510270804,"Lake Walker, Baltimore, MD",0.1153
24510020100,"Upper Fells Point, Baltimore, MD",0.1151
24005411407,"Parkville, MD",0.1139
24005490703,"Towson, MD",0.1135
24005411303,"Nottingham, MD",0.113
24005401301,"Woodlawn, MD",0.1129
24510180300,"Hollins Market, Baltimore, MD",0.1126
24005491701,"Parkville, MD",0.1126
24510272005,"Cross Country, Baltimore, MD",0.1124
24510240200,"Riverside, Baltimore, MD",0.1123
24005403401,"Pikesville, MD",0.1118
24005441102,"Rosedale, MD",0.111
24005402604,"Randallstown, MD",0.1095
24510280101,"Reisterstown Station, Baltimore, MD",0.1085
24510060300,"Butchers Hill, Baltimore, MD",0.108
24510250207,"Cherry Hill, Baltimore, MD",0.1068
24510271300,"Roland Park, Baltimore, MD",0.1057
24005490601,"Baltimore, MD",0.1056
24005402404,"Gwynn Oak, Lochearn, MD",0.1055
24510280301,"Gwynn Oak, Baltimore, MD",0.1044
24510120201,"Baltimore, MD",0.1039
24005402602,"Randallstown, MD",0.1029
24510120400,"Barclay, Baltimore, MD",0.1019
24005402405,"Gwynn Oak, Baltimore, MD",0.1016
24005430400,"Halethorpe, MD",0.1015
24005400100,"Catonsville, MD",0.1012
24510080400,"Broadway East, Baltimore, MD",0.1012
24510070300,"Milton - Montford, Baltimore, MD",0.1009
24005440200,"Nottingham, MD",0.1009
24510271200,"Homeland, Baltimore, MD",0.1002
24005492102,"Parkville, MD",0.0999
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.0995
24005411404,"Parkville, MD",0.0994
24510250402,"Brooklyn, Baltimore, MD",0.0992
24005490602,"Baltimore, MD",0.0988
24005402406,"Windsor Mill, Milford Mill, MD",0.0981
24005420100,"Dundalk, MD",0.0979
24510260402,"Frankford, Baltimore, MD",0.0978
24005440100,"Baltimore, MD",0.0968
24510070400,"Gay Street, Baltimore, MD",0.0961
24510060200,"Baltimore, MD",0.0957
24510070100,"Baltimore, MD",0.0956
24005420401,"Dundalk, MD",0.0953
24510271101,"Radnor - Winston, Baltimore, MD",0.0951
24005451701,"Middle River, MD",0.0948
24005490900,"Towson, MD",0.0945
24510260101,"Cedmont, Baltimore, MD",0.094
24005403202,"Gwynn Oak, Baltimore, MD",0.0937
24005490500,"Towson, MD",0.0928
24005441101,"Rosedale, MD",0.0925
24510271900,"Glen, Baltimore, MD",0.0918
24005401302,"Gwynn Oak, Baltimore, MD",0.091
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.0905
24510272003,"Baltimore, MD",0.0902
24005492500,"Baltimore, MD",0.0897
24510250500,"Curtis Bay, Baltimore, MD",0.0892
24005420302,"Dundalk, MD",0.0891
24005402503,"Randallstown, MD",0.0887
24005492200,"Parkville, MD",0.0883
24510130700,"Hampden, Baltimore, MD",0.0878
24510120500,"Greenmount West, Baltimore, MD",0.0877
24005411308,"Nottingham, MD",0.0876
24027606601,"Oakland Mills, Columbia, MD",0.0868
24510270302,"Waltherson, Baltimore, MD",0.0867
24003750900,"Glen Burnie, MD",0.0856
24510240300,"Riverside, Baltimore, MD",0.0852
24510271501,"Mount Washington, Baltimore, MD",0.0842
24005421300,"Dundalk, MD",0.084
24005492001,"Parkville, MD",0.0836
24510270903,"Hillen, Baltimore, MD",0.0825
24005411409,"Nottingham, MD",0.0823
24510190300,"Mount Clare, Baltimore, MD",0.0818
24005401503,"Catonsville, MD",0.0818
24005490800,"Towson, MD",0.0818
24510270301,"Lauraville, Baltimore, MD",0.081
24005490200,"Lutherville-Timonium, MD",0.0805
24510010400,"Canton, Baltimore, MD",0.0803
24005402506,"Randallstown, MD",0.0799
24005491201,"Towson, MD",0.0795
24005491202,"Towson, MD",0.079
24510260102,"Frankford, Baltimore, MD",0.0783
24003750400,"Linthicum Heights, MD",0.0782
24005450800,"Essex, MD",0.0779
24005430800,"Halethorpe, MD",0.0778
24510270801,"Idlewood, Baltimore, MD",0.0774
24005420600,"Baltimore, MD",0.0774
24005420702,"Dundalk, MD",0.077
24005401200,"Woodlawn, MD",0.0767
24510271001,"Baltimore, MD",0.0762
24005430700,"Halethorpe, MD",0.076
24510270802,"Ramblewood, Baltimore, MD",0.0752
24005402202,"Baltimore County, MD",0.0742
24005440500,"Nottingham, MD",0.0739
24005403100,"Gwynn Oak, Pikesville, MD",0.0734
24005400200,"Catonsville, MD",0.0729
24510151300,"Central Park Heights, Baltimore, MD",0.0721
24510170100,"Downtown, Baltimore, MD",0.0715
24003750801,"Glen Burnie, MD",0.0714
24510220100,"Baltimore, MD",0.0708
24005451100,"Essex, MD",0.0708
24005440400,"Baltimore, MD",0.0698
24510271801,"Arlington, Baltimore, MD",0.0696
24005450501,"Essex, MD",0.0695
24005451300,"Middle River, MD",0.0686
24005402201,"Randallstown, MD",0.0684
24005490302,"Towson, MD",0.0683
24005490400,"Towson, MD",0.068
24510190100,"Franklin Square, Baltimore, MD",0.0651
24005411406,"Nottingham, MD",0.0648
24510230100,"Baltimore, MD",0.0643
24005400702,"Baltimore, MD",0.0641
24005402403,"Gwynn Oak, Baltimore, MD",0.0637
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.0636
24005421101,"Baltimore, MD",0.0635
24510270402,"Glenham-Belford, Baltimore, MD",0.0631
24510210100,"Pigtown, Baltimore, MD",0.0631
24003750201,"Brooklyn, Baltimore, MD",0.0626
24510090400,"Better Waverly, Baltimore, MD",0.062
24005492101,"Parkville, MD",0.062
24510120300,"Harwood, Baltimore, MD",0.0619
24510130600,"Hampden, Baltimore, MD",0.0619
24510060400,"Baltimore, MD",0.0618
24510270101,"Arcadia, Baltimore, MD",0.0615
