"tract","Name","Foreign-Born_Share_in_2012-16"
12086001605,"Hialeah, FL",0.8678
12086000710,"Hialeah, FL",0.8293
12086000806,"Hialeah, FL",0.8284
12086000608,"Hialeah, FL",0.8262
12086000706,"Hialeah, FL",0.8232
12086005304,"East Little Havana, Miami, FL",0.8035
12086009314,"Hialeah, FL",0.8032
12086005410,"Little Havana, Miami, FL",0.7989
12086000705,"Hialeah, FL",0.7982
12086005407,"Little Havana, Miami, FL",0.798
12086013600,"Hialeah, FL",0.7978
12086005701,"Flagami, Miami, FL",0.7971
12086009315,"Hialeah, FL",0.795
12086000712,"Hialeah, FL",0.7894
12086000711,"Hialeah, FL",0.789
12086001603,"Hialeah, FL",0.7822
12086005103,"Little Havana, Miami, FL",0.7797
12086005704,"Flagami, Miami, FL",0.7796
12086005501,"Little Havana, Miami, FL",0.7718
12086000808,"Hialeah, FL",0.7704
12086009040,"Medley, FL",0.7677
12086009030,"Miami, FL",0.7625
12086005002,"Little Havana, Miami, FL",0.7616
12086000804,"Hialeah, FL",0.7601
12086000605,"Hialeah, FL",0.7577
12086005802,"Flagami, Miami, FL",0.7535
12086006301,"Little Havana, Miami, FL",0.7491
12086005303,"East Little Havana, Miami, FL",0.7484
12086004902,"Flagami, Miami, FL",0.7471
12086006402,"Coral Way, Miami, FL",0.7467
12086000708,"Hialeah, FL",0.7459
12086000604,"Hialeah, FL",0.7451
12086005703,"Flagami, Miami, FL",0.745
12086006401,"Coral Way, Miami, FL",0.7437
12086000607,"Hialeah, FL",0.7429
12086005801,"Flagami, Coral Gables, FL",0.7424
12086005201,"Little Havana, Miami, FL",0.7416
12086005403,"Little Havana, Miami, FL",0.7402
12086005406,"Little Havana, Miami, FL",0.7389
12086000709,"Hialeah, FL",0.738
12086005405,"Little Havana, Miami, FL",0.7338
12086013700,"Hialeah, FL",0.7327
12086005001,"Little Havana, Miami, FL",0.7244
12086009031,"Miami, FL",0.7237
12086000603,"Hialeah, FL",0.7227
12086005202,"East Little Havana, Miami, FL",0.7185
12086000805,"Hialeah, FL",0.7171
12086000707,"Hialeah, FL",0.716
12086006602,"Brickell, Miami, FL",0.7152
12086004901,"Flagami, Miami, FL",0.7147
12086490100,"Flagami, Miami, FL",0.7132
12086003911,"North Beach, Miami Beach, FL",0.7125
12086003602,"Little Havana, Miami, FL",0.7119
12086005409,"Little Havana, Miami, FL",0.7071
12086003913,"North Beach, Miami Beach, FL",0.7057
12086005102,"Little Havana, Miami, FL",0.7047
12086009035,"Doral, FL",0.6977
12086009311,"Hialeah, FL",0.6964
12086005902,"Miami, FL",0.6961
12086005903,"Miami, FL",0.6939
12086001703,"Miami, FL",0.6929
12086005302,"East Little Havana, Miami, FL",0.6929
12086006302,"Coral Way, Miami, FL",0.6925
12086006503,"Coral Way, Miami, FL",0.689
12086005104,"Little Havana, Miami, FL",0.6851
12086000807,"Hialeah, FL",0.6795
12086007001,"Coral Way, Miami, FL",0.674
12086000602,"Hialeah, FL",0.6738
12086003003,"Allapattah, Miami, FL",0.6721
12086006201,"Miami, FL",0.669
12086000601,"Hialeah, FL",0.6672
12086006403,"Coral Way, Miami, FL",0.667
12086001606,"Hialeah, FL",0.6655
12086006501,"Coral Way, Miami, FL",0.6605
12086005901,"West Miami, FL",0.6564
12086002403,"Allapattah, Miami, FL",0.6562
12086001602,"Hialeah, FL",0.6547
12086009014,"Doral, FL",0.6543
12086005502,"Little Havana, Miami, FL",0.6513
12086007002,"Coral Way, Miami, FL",0.6505
12086004205,"Flamingo / Lummus, Miami Beach, FL",0.6468
12086005600,"Flagami, Coral Gables, FL",0.6443
12086009006,"Miami, FL",0.6434
12086009200,"Hialeah, FL",0.6392
12086002404,"Allapattah, Miami, FL",0.638
12086005904,"Miami, FL",0.6346
12086004404,"Flamingo / Lummus, Miami Beach, FL",0.6346
12086006601,"Coral Way, Miami, FL",0.6263
12086003004,"Allapattah, Miami, FL",0.6246
12086000901,"Miami, FL",0.6222
12086003914,"North Beach, Miami Beach, FL",0.6189
12086002402,"Allapattah, Miami, FL",0.6188
12086003909,"North Beach, Miami Beach, FL",0.6187
12086003915,"Normandy Isles, Miami Beach, FL",0.6171
12086004703,"Miami Springs, FL",0.6102
12086009010,"Doral, FL",0.6094
12086004204,"South Beach, Miami Beach, FL",0.6091
12086002702,"Edgewater, Miami, FL",0.6063
12086004103,"Mid-Beach, Miami, FL",0.6061
12086003921,"Mid-Beach, Miami, FL",0.6031
12086004105,"Mid-Beach, Miami Beach, FL",0.6009
12086006205,"Douglas, Coral Gables, FL",0.5965
12086002501,"Allapattah, Miami, FL",0.5934
12086004206,"South Beach, Miami Beach, FL",0.5916
12086006504,"Coral Way, Miami, FL",0.5915
12086009100,"Miami, FL",0.5877
12086006900,"Coral Way, Miami, FL",0.5811
12086006705,"Brickell, Miami, FL",0.5779
12086004303,"Flamingo / Lummus, Miami Beach, FL",0.5778
12086000902,"Miami, FL",0.5759
12086004702,"Miami Springs, FL",0.5739
12086006002,"Miami, FL",0.5674
12086008901,"Miami, FL",0.5652
12086004403,"Flamingo / Lummus, Miami Beach, FL",0.5632
12086006706,"Brickell, Miami, FL",0.5563
12086003917,"North Bay Village, FL",0.5557
12086007701,"Miami, FL",0.5553
12086006714,"Brickell, Miami, FL",0.5539
12086006001,"Miami, FL",0.5501
12086004405,"Flamingo / Lummus, Miami Beach, FL",0.5471
12086003705,"Downtown Miami, Miami, FL",0.5403
12086006709,"Brickell, Miami, FL",0.54
12086002900,"Allapattah, Miami, FL",0.5372
12086001101,"Miami Shores, FL",0.5356
12086003704,"Downtown Miami, Miami, FL",0.5344
12086006206,"Coral Gables Section, Coral Gables, FL",0.5336
12086006707,"Brickell, Miami, FL",0.5316
12086004304,"South Beach, Miami Beach, FL",0.5292
12086003916,"Normandy Shores, Miami Beach, FL",0.5223
12086002706,"Edgewater, Miami, FL",0.5112
12086003919,"Mid-Beach, Miami Beach, FL",0.5086
12086004203,"West Avenue, Miami Beach, FL",0.5033
12086007702,"Miami, FL",0.5021
12086006203,"Crafts, Coral Gables, FL",0.4943
12086003922,"Mid-Beach, Miami, FL",0.4932
12086002600,"Wynwood, Miami, FL",0.4859
12086001402,"Little Haiti, Miami, FL",0.4846
12086001301,"Upper East Side, Miami, FL",0.4808
12086003912,"Biscayne Point, Miami Beach, FL",0.479
12086002705,"Edgewater, Miami, FL",0.4789
12086004406,"West Avenue, Miami Beach, FL",0.477
12086003703,"Downtown Miami, Miami, FL",0.4704
12086002004,"Little Haiti, Miami, FL",0.4697
12086003707,"Downtown Miami, Miami, FL",0.4657
12086002703,"Edgewater, Miami, FL",0.4628
12086006101,"Granada, Coral Gables, FL",0.457
12086006711,"Brickell, Miami, FL",0.4527
12086006713,"Brickell, Miami, FL",0.4476
12086002201,"Little Haiti, Miami, FL",0.4455
